exchange,timestamp,side,price,quantity
Backpack,2025-12-02T18:26:16.044524+00:00,buy,91825.4,0.00200
Lighter,2025-12-02T18:26:27.283900+00:00,SHORT,91681.7690,0.00200
Backpack,2025-12-02T18:26:35.120947+00:00,sell,91852.0,0.00200
Lighter,2025-12-02T18:26:46.485318+00:00,LONG,92024.8824,0.00200
Backpack,2025-12-02T18:27:23.308511+00:00,buy,91855.3,0.00200
Lighter,2025-12-02T18:27:34.730934+00:00,SHORT,91660.0126,0.00200
Backpack,2025-12-02T18:28:34.672964+00:00,sell,91849.9,0.00200
Lighter,2025-12-02T18:28:45.890066+00:00,LONG,92008.7502,0.00200
Backpack,2025-12-02T18:29:11.528860+00:00,sell,91911.6,0.00200
Lighter,2025-12-02T18:29:22.844294+00:00,LONG,92061.4554,0.00200
Backpack,2025-12-02T18:30:10.485032+00:00,buy,91845.3,0.00200
Lighter,2025-12-02T18:30:21.902328+00:00,SHORT,91668.8948,0.00200
Backpack,2025-12-02T18:30:26.186419+00:00,sell,91883.8,0.00200
Lighter,2025-12-02T18:30:36.898831+00:00,LONG,92039.8122,0.00200
Backpack,2025-12-02T18:30:50.524193+00:00,buy,91857.8,0.00200
Lighter,2025-12-02T18:31:01.710044+00:00,SHORT,91672.8868,0.00200
Backpack,2025-12-02T18:31:14.033323+00:00,sell,91981.7,0.00200
Lighter,2025-12-02T18:31:25.233773+00:00,LONG,92110.4532,0.00200
Backpack,2025-12-02T18:31:51.284121+00:00,sell,92058.8,0.00063
Lighter,2025-12-02T18:32:02.428067+00:00,LONG,92248.1280,0.00063
Backpack,2025-12-02T18:33:03.296664+00:00,buy,92057.2,0.00200
Lighter,2025-12-02T18:33:14.739897+00:00,SHORT,91875.4808,0.00200
Backpack,2025-12-02T18:33:37.109503+00:00,buy,92036.2,0.00200
Lighter,2025-12-02T18:33:48.348532+00:00,SHORT,91843.9440,0.00200
Backpack,2025-12-02T18:34:10.864033+00:00,buy,91978.8,0.00200
Lighter,2025-12-02T18:34:22.992357+00:00,SHORT,91774.3834,0.00200
Backpack,2025-12-02T18:34:52.795220+00:00,sell,91945.6,0.00200
Lighter,2025-12-02T18:35:04.298943+00:00,LONG,92128.7898,0.00200
Backpack,2025-12-02T18:35:16.990512+00:00,sell,92012.2,0.00200
Lighter,2025-12-02T18:35:28.252352+00:00,LONG,92190.4128,0.00200
Backpack,2025-12-02T18:35:41.089897+00:00,sell,92072.7,0.00200
Lighter,2025-12-02T18:35:52.387845+00:00,LONG,92253.7392,0.00200
Backpack,2025-12-02T18:36:06.650139+00:00,sell,92106.7,0.00200
Lighter,2025-12-02T18:36:17.885013+00:00,LONG,92284.3002,0.00200
Backpack,2025-12-02T18:36:33.715964+00:00,buy,92147.7,0.00200
Lighter,2025-12-02T18:36:44.931220+00:00,SHORT,91971.3886,0.00200
Backpack,2025-12-02T18:37:08.652766+00:00,buy,92103.8,0.00200
Lighter,2025-12-02T18:37:20.017949+00:00,SHORT,91939.6522,0.00200
Backpack,2025-12-02T18:37:29.245200+00:00,buy,92023.7,0.00200
Lighter,2025-12-02T18:37:40.400356+00:00,SHORT,91841.2494,0.00200
Backpack,2025-12-02T18:38:46.288353+00:00,buy,91994.5,0.00200
Lighter,2025-12-02T18:38:57.663765+00:00,SHORT,91837.9560,0.00200
Backpack,2025-12-02T18:39:11.465021+00:00,buy,91934.9,0.00200
Lighter,2025-12-02T18:39:22.530439+00:00,SHORT,91733.5652,0.00200
Backpack,2025-12-02T18:39:27.233497+00:00,sell,91950.4,0.00200
Lighter,2025-12-02T18:39:38.504071+00:00,LONG,92129.0904,0.00200
Backpack,2025-12-02T18:40:51.617891+00:00,buy,91788.7,0.00200
Lighter,2025-12-02T18:41:03.024499+00:00,SHORT,91641.2502,0.00200
Backpack,2025-12-02T18:41:05.875465+00:00,sell,91823.5,0.00200
Lighter,2025-12-02T18:41:16.661118+00:00,LONG,92002.7382,0.00200
Backpack,2025-12-02T18:41:52.889082+00:00,sell,91855.6,0.00200
Lighter,2025-12-02T18:42:04.117658+00:00,LONG,92007.0468,0.00200
Backpack,2025-12-02T18:42:28.053570+00:00,sell,91897.4,0.00200
Lighter,2025-12-02T18:42:39.136755+00:00,LONG,92081.7960,0.00200
Backpack,2025-12-02T18:42:52.133236+00:00,sell,91940.8,0.00200
Lighter,2025-12-02T18:43:03.228961+00:00,LONG,92116.7658,0.00200
Backpack,2025-12-02T18:43:30.617576+00:00,sell,91963.7,0.00200
Lighter,2025-12-02T18:43:41.780611+00:00,LONG,92100.9342,0.00200
Backpack,2025-12-02T18:45:05.856802+00:00,buy,91878.8,0.00200
Lighter,2025-12-02T18:45:16.985076+00:00,SHORT,91733.3656,0.00200
Backpack,2025-12-02T18:45:47.107961+00:00,buy,91874.5,0.00200
Lighter,2025-12-02T18:45:58.286092+00:00,SHORT,91713.3058,0.00200
Backpack,2025-12-02T18:46:09.359702+00:00,sell,91897.8,0.00200
Lighter,2025-12-02T18:46:20.714718+00:00,LONG,92051.0346,0.00200
Backpack,2025-12-02T18:46:28.042751+00:00,sell,91937.7,0.00200
Lighter,2025-12-02T18:46:39.309574+00:00,LONG,92113.0584,0.00200
Backpack,2025-12-02T18:50:20.568643+00:00,buy,91922.9,0.00200
Lighter,2025-12-02T18:50:31.911321+00:00,SHORT,91759.1140,0.00200
Backpack,2025-12-02T18:51:00.313126+00:00,sell,91855.5,0.00200
